rank,symbol,name,scan_theme,trade_group,parent_group,in_execution_pool,execution_theme,scan_rank_60d_dollar_volume,median_dollar_volume_60d,eligible,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs
66,IESC,"IES Holdings, Inc. - Common Stock",grid_engineering,us_unclassified_stock,us_unclassified,True,grid_engineering,756.0,110421365.41748048,True,0.4856874583707915,8.61590677333146,67.92882137539466,61.1036452084748,136255961.03515625,10.01683561366562,420
67,LGN,Legence Corp. - Class A Common stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,754.0,111223303.02314758,True,0.48375634746296586,3.771526370216982,68.5210959713971,75.57756507902711,89369638.98162842,-21.075549846322794,193
68,FROG,JFrog Ltd. - Ordinary shares,us_unclassified,us_unclassified_stock,us_unclassified,False,,738.0,114689010.92128754,True,0.4769281540847491,12.651506028759375,87.34782645121504,14.020051240976471,187262892.9588318,23.50979489432148,420
69,BWA,BorgWarner Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,681.0,133534724.27501678,True,0.4743631301160602,14.122312100407441,42.59858274081012,78.2328661355812,251256065.0817871,58.84271824264682,420
70,NUE,Nucor Corporation Common Stock,materials_steel,materials_steel,us_energy_materials,False,,367.0,273622786.0054016,True,0.4642727892630674,8.047150179225016,58.01885763652581,66.10753270644165,371062602.66342163,21.824797774147097,420
71,TXN,Texas Instruments Incorporated - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,53.0,1543315222.3648071,True,0.45170993422019806,5.897395755966683,57.121587921129446,67.42350599593092,2346640445.915222,14.309232073354906,420
72,TWLO,Twilio Inc. Class A Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,336.0,297054642.40112305,True,0.45147073964583656,-1.6690453871801791,64.62432603014298,59.36753169626663,476861821.83532715,15.580534043886907,420
73,CSCO,"Cisco Systems, Inc. - Common Stock",server_network,datacenter_networking,us_ai_hardware,True,server_network,49.0,1644573532.302475,True,0.44846900959833025,4.538699178540706,57.56387930046913,54.880638094376245,2844793502.749634,43.15255915319709,420
74,ASML,ASML Holding N.V. - New York Registry Shares,semi_equipment,semi_equipment,us_semiconductor,True,semi_equipment,25.0,2450085714.72168,True,0.44381520978945255,24.485046262737043,40.8447058167569,71.50183663716408,3424684077.4414062,32.289349495662265,420
75,CROX,"Crocs, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,747.0,112782201.65100098,True,0.438210598421872,21.513942864429403,58.068576024193334,46.838545210125226,144779642.72499084,16.777757558830153,420
76,MOD,Modine Manufacturing Company Common Stock,thermal_power,us_unclassified_stock,us_unclassified,True,thermal_power,429.0,232553752.52456665,True,0.43692561711242234,15.559791176407444,41.46304388406597,77.51553787706393,344712840.0405884,25.433492588650818,420
77,RMBS,"Rambus, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,427.0,233245829.89501956,True,0.4228149183321373,5.697814277821478,60.91557494431341,37.97154281718109,394171073.3263397,42.37034548413128,420
78,AGX,"Argan, Inc. Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,526.0,185746130.267334,True,0.4172150564112059,17.184770116722838,35.895299104661675,87.74698183080984,199255013.72680664,1.9492156297580054,420
79,JBL,Jabil Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,287.0,346309217.1936035,True,0.4171802966691408,7.744462250909057,49.51024532163524,65.32668096159078,409865192.7062988,15.578565815987222,420
80,FIX,"Comfort Systems USA, Inc. Common Stock",thermal_power,us_unclassified_stock,us_unclassified,True,thermal_power,156.0,614258626.0375977,True,0.4137914737799519,7.1860149883304025,34.24050490006876,87.58455874429507,864624839.7399902,26.375774892243985,420
81,OKTA,"Okta, Inc. - Class A Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,393.0,255728409.08241272,True,0.4027259814270198,32.31131665234444,48.82837814044543,33.84212185287478,400036589.8403168,33.77034185813959,420
